id,ts_et,setup_name,direction,grade,score,spot,paradigm,greek_alignment,vix,overvix,outcome_result,outcome_pnl,outcome_max_profit,outcome_max_loss,outcome_elapsed_min,outcome_first_event,outcome_target_level,outcome_stop_level
662,2026-03-10 14:33:56.339456,Skew Charm,short,C,43.0,6810.11,BOFA-PURE,-1,23.92,,WIN,9.3,16.7,-1.49,40,target,6801.41,6830.11
667,2026-03-10 14:57:15.595676,Skew Charm,long,C,38.0,6798.05,BOFA-PURE,3,24.24,,LOSS,-20.0,7.92,-21.28,52,stop,,6778.05
669,2026-03-10 15:11:56.572031,Skew Charm,long,C,38.0,6794.28,GEX-LIS,3,24.3,,WIN,6.8,11.69,0.66,9,target,6797.97,6774.28
671,2026-03-10 15:42:25.228878,Skew Charm,long,LOG,8.0,6784.99,GEX-LIS,3,25.13,,EXPIRED,-10.3,4.21,-10.3,14,timeout,,6764.99
672,2026-03-11 09:45:34.424758,Skew Charm,short,A+,85.0,6789.94,SIDIAL-EXTREME,-1,24.81,,WIN,9.1,16.3,0.23,7,target,6781.6401,6809.94
677,2026-03-11 10:18:34.128095,Skew Charm,short,A+,85.0,6787.43,SIDIAL-EXTREME,-1,24.54,,WIN,12.8,23.54,-3.28,11,target,6771.8901,6807.43
678,2026-03-11 10:31:04.152247,Skew Charm,long,A,78.0,6774.4,SIDIAL-EXTREME,3,25.0,,WIN,11.6,21.27,-10.77,31,target,6787.67,6754.4
681,2026-03-11 10:52:35.985307,Skew Charm,short,A+,85.0,6789.49,SIDIAL-EXTREME,-1,24.26,,WIN,15.1,28.24,-6.18,31,target,6769.25,6809.49
686,2026-03-11 11:21:10.978056,Skew Charm,long,A,78.0,6768.89,SIDIAL-EXTREME,3,25.01,,LOSS,-20.0,6.18,-20.39,27,stop,,6748.89
691,2026-03-11 11:51:14.082055,Skew Charm,long,A,78.0,6755.4,AG-PURE,3,25.57,,WIN,11.6,21.2,-8.29,87,target,6768.6,6735.4
694,2026-03-11 12:23:07.302256,Skew Charm,long,A,68.0,6753.74,AG-PURE,3,25.74,,WIN,12.4,22.86,-0.07,55,target,6768.6,6733.74
696,2026-03-11 12:54:06.924430,Skew Charm,long,A,75.0,6770.08,AG-PURE,3,24.99,,LOSS,-20.0,7.47,-23.83,44,stop,,6750.08
698,2026-03-11 13:24:07.755077,Skew Charm,long,C,45.0,6771.51,AG-LIS,3,24.77,,LOSS,-20.0,6.04,-25.26,14,stop,,6751.51
701,2026-03-11 13:40:34.237920,Skew Charm,short,C,38.0,6760.51,AG-LIS,-1,25.21,,WIN,6.4,10.78,-7.02,37,target,6757.73,6780.51
706,2026-03-11 14:22:04.752717,Skew Charm,short,C,43.0,6762.83,BOFA-PURE,-1,25.19,,EXPIRED,-10.6,7.01,-12.72,95,timeout,,6782.83
708,2026-03-11 15:01:04.819887,Skew Charm,long,B,53.0,6764.97,BOFA-PURE,3,24.74,,WIN,9.2,10.58,-9.15,55,target,6767.55,6744.97
709,2026-03-11 15:05:37.584716,Skew Charm,short,C,41.0,6759.89,BOFA-PURE,-1,25.01,,EXPIRED,-13.6,4.07,-15.66,51,timeout,,6779.89
712,2026-03-11 15:37:07.896600,Skew Charm,short,C,40.0,6767.28,BOFA-PURE,-1,24.62,,EXPIRED,-6.2,0.6,-8.27,19,timeout,,6787.28
713,2026-03-11 15:40:07.436064,Skew Charm,long,C,45.0,6770.11,BOFA-PURE,3,24.51,,EXPIRED,3.4,5.44,-3.43,16,timeout,,6750.11
716,2026-03-12 09:45:30.782695,Skew Charm,long,A,78.0,6712.39,AG-PURE,3,26.29,,LOSS,-20.0,9.72,-21.56,44,stop,,6692.39
721,2026-03-12 10:26:01.106841,Skew Charm,long,A,78.0,6707.46,AG-PURE,3,26.17,,LOSS,-20.0,-1.47,-20.28,8,stop,,6687.46
726,2026-03-12 10:57:32.956969,Skew Charm,long,C,48.0,6698.43,AG-LIS,3,26.4,,WIN,7.4,12.79,-18.33,49,target,6703.22,6678.43
730,2026-03-12 11:29:01.760648,Skew Charm,long,C,43.0,6695.91,AG-LIS,3,26.57,,WIN,8.7,15.31,-12.2,17,target,6703.22,6675.91
733,2026-03-12 11:59:02.119079,Skew Charm,long,C,43.0,6700.79,AG-LIS,3,26.23,,WIN,6.9,11.85,1.61,8,target,6704.64,6680.79
738,2026-03-12 12:32:29.080415,Skew Charm,long,LOG,33.0,6696.83,AG-LIS,3,26.42,,WIN,8.1,14.23,0.58,14,target,6703.06,6676.83
740,2026-03-12 13:05:29.273430,Skew Charm,long,LOG,33.0,6707.71,AG-LIS,3,25.61,,LOSS,-20.0,2.38,-23.41,50,stop,,6687.71
743,2026-03-12 13:22:33.601452,Skew Charm,long,B,53.0,6695.64,BOFA-PURE,3,26.09,,WIN,6.6,11.25,0.76,20,target,6698.89,6675.64
747,2026-03-12 13:46:12.908277,Skew Charm,long,C,38.0,6691.42,AG-LIS,3,26.07,,WIN,6.4,10.88,-7.12,33,target,6694.3,6671.42
750,2026-03-12 14:20:12.840501,Skew Charm,long,C,48.0,6693.47,BOFA-PURE,3,26.16,,LOSS,-20.0,1.89,-21.0,96,stop,,6673.47
753,2026-03-12 14:54:42.418056,Skew Charm,long,C,36.0,6688.39,BOFA-PURE,3,26.52,,EXPIRED,-16.2,6.97,-17.46,62,timeout,,6668.39
758,2026-03-12 15:33:53.655067,Skew Charm,long,LOG,8.0,6695.36,AG-LIS,3,26.03,,LOSS,-20.0,-0.78,-20.61,16,stop,,6675.36
760,2026-03-13 09:48:24.018498,Skew Charm,short,B,55.0,6729.5,GEX-LIS,-1,24.82,,WIN,6.4,10.88,2.16,6,target,6726.62,6749.5
761,2026-03-13 09:54:33.954586,Skew Charm,long,B,55.0,6727.34,GEX-LIS,3,24.95,,LOSS,-20.0,-0.53,-23.05,13,stop,,6707.34
767,2026-03-13 10:25:23.837895,Skew Charm,long,A,73.0,6696.47,BofA-LIS,3,25.78,,WIN,8.0,13.95,-3.01,10,target,6702.42,6676.47
771,2026-03-13 10:59:53.624750,Skew Charm,long,A,68.0,6664.26,BofA-LIS,3,26.84,,WIN,7.8,13.56,-8.58,20,target,6669.82,6644.26
775,2026-03-13 11:34:27.476697,Skew Charm,long,A,68.0,6658.4,BofA-LIS,3,27.15,,LOSS,-20.0,1.46,-21.42,135,stop,,6638.4
778,2026-03-13 11:58:30.924890,Skew Charm,long,A,68.0,6643.51,BofA-LIS,3,27.49,,WIN,8.6,15.19,-0.49,15,target,6650.7,6623.51
781,2026-03-13 12:30:01.019665,Skew Charm,long,B,58.0,6652.7,BofA-LIS,3,27.11,,LOSS,-20.0,6.81,-21.35,80,stop,,6632.7
786,2026-03-13 12:45:21.138873,Skew Charm,long,B,58.0,6646.82,BofA-LIS,3,27.25,,WIN,6.6,11.25,-3.37,11,target,6650.07,6626.82
789,2026-03-13 12:59:15.157626,Skew Charm,long,B,58.0,6645.19,BofA-LIS,3,27.28,,WIN,8.2,14.32,-2.37,23,target,6651.51,6625.19
795,2026-03-13 13:32:15.365711,Skew Charm,long,C,43.0,6651.78,BOFA-MESSY,3,27.07,,LOSS,-20.0,0.19,-20.43,18,stop,,6631.78
800,2026-03-13 14:06:15.666125,Skew Charm,long,C,38.0,6641.01,BOFA-PURE,3,27.4,,WIN,8.8,15.56,-5.66,56,target,6648.57,6621.01
805,2026-03-13 14:35:44.703143,Skew Charm,long,C,41.0,6649.58,BOFA-PURE,3,27.09,,LOSS,-20.0,6.99,-20.29,63,stop,,6629.58
808,2026-03-13 15:07:15.265705,Skew Charm,long,C,36.0,6643.34,BOFA-PURE,3,27.45,,EXPIRED,-10.5,5.18,-19.42,49,timeout,,6623.34
812,2026-03-13 15:23:19.005883,Skew Charm,short,C,36.0,6636.44,BOFA-PURE,-1,27.48,,WIN,7.3,12.52,-3.04,33,target,6631.9199,6656.44
813,2026-03-16 09:46:04.353703,Skew Charm,short,A,70.0,6713.44,BOFA-PURE,-1,24.22,,WIN,14.5,27.01,-9.43,66,target,6694.43,6733.44
814,2026-03-16 09:56:36.219017,Skew Charm,long,A,70.0,6706.6,BOFA-PURE,3,24.38,,WIN,9.1,16.27,3.18,17,target,6714.8701,6686.6
819,2026-03-16 10:27:37.199388,Skew Charm,short,A,70.0,6718.14,BOFA-PURE,-1,23.76,,WIN,16.9,31.71,-1.92,24,target,6694.43,6738.14
820,2026-03-16 10:34:11.182984,Skew Charm,long,A,70.0,6704.11,BOFA-PURE,3,24.23,,WIN,6.5,10.91,-17.68,76,target,6707.02,6684.11
822,2026-03-16 11:04:37.115603,Skew Charm,long,A+,85.0,6700.6,AG-PURE,3,24.12,,WIN,8.2,14.42,-3.72,46,target,6707.02,6680.6
828,2026-03-16 11:35:07.247340,Skew Charm,long,A+,85.0,6713.7,AG-PURE,3,23.5,,LOSS,-20.0,1.32,-20.53,30,stop,,6693.7
831,2026-03-16 12:06:06.618108,Skew Charm,long,B,60.0,6692.98,BOFA-PURE,3,24.35,,WIN,7.3,12.67,-10.89,98,target,6697.65,6672.98
835,2026-03-16 12:40:38.267436,Skew Charm,long,B,55.0,6689.07,BOFA-PURE,3,24.58,,WIN,9.3,16.58,2.41,63,target,6697.65,6669.07
837,2026-03-16 13:10:38.555548,Skew Charm,long,B,60.0,6700.57,BOFA-PURE,3,24.22,,WIN,6.7,11.47,-6.79,113,target,6704.04,6680.57
838,2026-03-16 13:14:37.645104,Skew Charm,short,B,60.0,6703.75,BOFA-PURE,-1,24.07,,LOSS,-20.0,9.97,-26.04,116,stop,,6723.75
